Gender,Rhythm1,Rhythm2,Rtotal,CTest1,CTest2,Penalty1,Penalty2,CoorScore,VJump1,VJump2,VJumpScore,30m,30mScore,PH1,PHB1,PHV1,PHA1,PH2,PHB2,PHV2,PHA2,PH3,PHB3,PHV3,PHA3,PH4,PHB4,PHV4,PHA4,PH5,PHB5,PHV5,PHA5,R1,RB1,RV1,RA1,R2,RB2,RV2,RA2,R3,RB3,RV3,RA3,R4,RB4,RV4,RA4,S1,SB1,SV1,SA1,S2,SB2,SV2,SA2,S3,SB3,SV3,SA3,S4,SB4,SV4,SA4,PS1,PSB1,PSV1,PSA1,PS2,PSB2,PSV2,PSA2,PS3,PSB3,PSV3,PSA3,PS4,PSB4,PSV4,PSA4,Branch
1,3,3,6,-2,29.63,0,1,42.24,34.69,40.39,10,4.72,11.33,1,0.112,0.1026,0.1353,1,0.12,0.1102,0.1148,1,0.032,0.0342,0.0287,2,0.104,0.114,0.1148,2,0.168,0.152,0.1476,1,0.1036,0.112,0.12,4,0.1792,0.2176,0.18,4,0.2464,0.2688,0.336,3,0.21,0.2592,0.153,1,0.0441,0.0392,0.0264,2,0.1092,0.0364,0.0396,1,0.0567,0.0294,0.0396,5,0.273,0.266,0.121,4,0.154,0.2368,0.2736,2,0.0418,0.0576,0.072,3,0.066,0.1056,0.0918,5,0.143,0.184,0.225,O
1,7,7,14,30.5,28.77,0,0,42.16,36.54,33.79,4.62,4.52,9.07,1,0.112,0.1026,0.1353,3,0.36,0.3306,0.3444,2,0.064,0.0684,0.0574,3,0.156,0.171,0.1722,2,0.168,0.152,0.1476,3,0.3108,0.336,0.36,2,0.0896,0.1088,0.09,3,0.1848,0.2016,0.252,3,0.21,0.2592,0.153,1,0.0441,0.0392,0.0264,1,0.0546,0.0182,0.0198,4,0.2268,0.1176,0.1584,2,0.1092,0.1064,0.0484,2,0.077,0.1184,0.1368,1,0.0209,0.0288,0.036,4,0.088,0.1408,0.1224,4,0.1144,0.1472,0.18,V
0,6,3,9,32.67,28.5,0,0,42.12,33.79,32.89,4.01,4.28,15,5,0.56,0.513,0.6765,2,0.24,0.2204,0.2296,4,0.128,0.1368,0.1148,2,0.104,0.114,0.1148,2,0.168,0.152,0.1476,1,0.1036,0.112,0.12,3,0.1344,0.1632,0.135,2,0.1232,0.1344,0.168,2,0.14,0.1728,0.102,5,0.2205,0.196,0.132,5,0.273,0.091,0.099,3,0.1701,0.0882,0.1188,2,0.1092,0.1064,0.0484,3,0.1155,0.1776,0.2052,5,0.1045,0.144,0.18,3,0.066,0.1056,0.0918,1,0.0286,0.0368,0.045,O
1,8,7,15,26.83,25.38,2,1,41.18,49.74,47.58,7.48,3.93,12.88,1,0.112,0.1026,0.1353,2,0.24,0.2204,0.2296,5,0.16,0.171,0.1435,4,0.208,0.228,0.2296,5,0.42,0.38,0.369,3,0.3108,0.336,0.36,4,0.1792,0.2176,0.18,3,0.1848,0.2016,0.252,1,0.07,0.0864,0.051,2,0.0882,0.0784,0.0528,1,0.0546,0.0182,0.0198,5,0.2835,0.147,0.198,2,0.1092,0.1064,0.0484,5,0.1925,0.296,0.342,2,0.0418,0.0576,0.072,4,0.088,0.1408,0.1224,2,0.0572,0.0736,0.09,O
1,7,6,13,27,25.57,1,0,40.45,38.44,38.44,3.89,4.12,10.56,3,0.336,0.3078,0.4059,4,0.48,0.4408,0.4592,5,0.16,0.171,0.1435,4,0.208,0.228,0.2296,3,0.252,0.228,0.2214,1,0.1036,0.112,0.12,5,0.224,0.272,0.225,2,0.1232,0.1344,0.168,3,0.21,0.2592,0.153,3,0.1323,0.1176,0.0792,5,0.273,0.091,0.099,3,0.1701,0.0882,0.1188,2,0.1092,0.1064,0.0484,4,0.154,0.2368,0.2736,1,0.0209,0.0288,0.036,2,0.044,0.0704,0.0612,2,0.0572,0.0736,0.09,B
1,4,4,8,27.73,29.57,0,2,40.18,37.49,39.41,3.02,4.14,11.21,1,0.112,0.1026,0.1353,2,0.24,0.2204,0.2296,4,0.128,0.1368,0.1148,3,0.156,0.171,0.1722,1,0.084,0.076,0.0738,3,0.3108,0.336,0.36,3,0.1344,0.1632,0.135,1,0.0616,0.0672,0.084,3,0.21,0.2592,0.153,2,0.0882,0.0784,0.0528,3,0.1638,0.0546,0.0594,4,0.2268,0.1176,0.1584,4,0.2184,0.2128,0.0968,5,0.1925,0.296,0.342,2,0.0418,0.0576,0.072,3,0.066,0.1056,0.0918,2,0.0572,0.0736,0.09,O
1,7,8,15,27.81,27.76,0,0,40.04,35.61,39.41,3.02,4.33,7.45,5,0.56,0.513,0.6765,3,0.36,0.3306,0.3444,3,0.096,0.1026,0.0861,4,0.208,0.228,0.2296,3,0.252,0.228,0.2214,4,0.4144,0.448,0.48,3,0.1344,0.1632,0.135,5,0.308,0.336,0.42,3,0.21,0.2592,0.153,2,0.0882,0.0784,0.0528,3,0.1638,0.0546,0.0594,2,0.1134,0.0588,0.0792,5,0.273,0.266,0.121,1,0.0385,0.0592,0.0684,5,0.1045,0.144,0.18,1,0.022,0.0352,0.0306,4,0.1144,0.1472,0.18,B
1,5,5,10,25.71,25.89,0,0,39.9,33.79,35.61,3,3.92,13.06,5,0.56,0.513,0.6765,4,0.48,0.4408,0.4592,5,0.16,0.171,0.1435,2,0.104,0.114,0.1148,4,0.336,0.304,0.2952,1,0.1036,0.112,0.12,2,0.0896,0.1088,0.09,3,0.1848,0.2016,0.252,2,0.14,0.1728,0.102,2,0.0882,0.0784,0.0528,5,0.273,0.091,0.099,4,0.2268,0.1176,0.1584,4,0.2184,0.2128,0.0968,1,0.0385,0.0592,0.0684,3,0.0627,0.0864,0.108,3,0.066,0.1056,0.0918,3,0.0858,0.1104,0.135,B
0,7,6,13,29.27,30.58,0,0,39.67,33.79,39.41,5.86,4.4,13.57,1,0.112,0.1026,0.1353,2,0.24,0.2204,0.2296,4,0.128,0.1368,0.1148,5,0.26,0.285,0.287,1,0.084,0.076,0.0738,3,0.3108,0.336,0.36,3,0.1344,0.1632,0.135,5,0.308,0.336,0.42,2,0.14,0.1728,0.102,3,0.1323,0.1176,0.0792,3,0.1638,0.0546,0.0594,4,0.2268,0.1176,0.1584,3,0.1638,0.1596,0.0726,3,0.1155,0.1776,0.2052,5,0.1045,0.144,0.18,1,0.022,0.0352,0.0306,5,0.143,0.184,0.225,O
1,7,6,13,27.85,28.82,0,0,39.65,37.49,41.38,3.82,3.95,15,5,0.56,0.513,0.6765,3,0.36,0.3306,0.3444,4,0.128,0.1368,0.1148,5,0.26,0.285,0.287,1,0.084,0.076,0.0738,4,0.4144,0.448,0.48,5,0.224,0.272,0.225,5,0.308,0.336,0.42,1,0.07,0.0864,0.051,5,0.2205,0.196,0.132,2,0.1092,0.0364,0.0396,4,0.2268,0.1176,0.1584,3,0.1638,0.1596,0.0726,2,0.077,0.1184,0.1368,3,0.0627,0.0864,0.108,4,0.088,0.1408,0.1224,2,0.0572,0.0736,0.09,A
