Gender,R1,R2,Rhythm,CTest1,CTest2,Penalty1,Penalty2,CoorScore,VJump1,VJump2,VJumpScore,30m,30mScore,Result
0,7,7,14,37.72,31.68,2,1,26.85,26.16,27.77,2.47,4.83,5.99,F
1,5,5,10,31.51,28.02,0,0,26.84,30.28,33.79,1.93,4.57,3.11,F
1,7,3,10,28.02,28.16,0,0,26.83,23.84,42.38,4.7,4.16,9.32,F
1,2,6,8,29.38,29.09,0,0,26.82,45.46,45.46,6.12,4.06,11.31,F
1,3,3,6,28.03,28.06,0,0,26.78,39.41,37.49,3.74,3.89,13.33,F
1,7,3,10,29.34,28.03,0,0,26.78,27.77,16.24,0,4.38,6,F
1,7,5,12,28.84,28.07,0,0,26.64,44.42,32.01,5.35,3.93,12.66,F
1,6,7,13,28.56,28.07,0,0,26.63,36.54,41.38,4.38,4.01,11.47,F
1,4,4,8,28.84,28.07,1,1,26.62,23.09,23.84,0,4.61,2.63,F
1,4,8,12,28.08,28.31,0,0,26.58,33.79,39.41,3.74,4.38,5.98,F
1,3,4,7,31.56,28.09,0,1,26.56,38.44,25.38,3.43,3.88,13.38,F
1,7,8,15,31.37,28.09,0,1,26.55,36.54,39.41,3.74,4.49,4.36,F
1,5,4,9,29.18,29.48,1,2,26.48,29.43,30.28,1.31,4.44,6.73,F
0,3,4,7,34.9,31.8,0,0,26.46,22.35,28.6,2.74,4.57,9.19,F
1,7,3,10,29.19,29.51,0,0,26.45,43.4,39.41,5.47,4.19,9.8,F
1,8,7,15,31.55,29.19,1,0,26.43,41.38,38.44,4.83,4.04,11.55,F
1,4,4,8,30.45,28.12,0,1,26.41,23.84,21.62,0,4,11.68,F
1,6,3,9,34.67,28.13,2,0,26.38,32.01,33.79,1.93,4.27,7.65,F
1,6,4,10,32.8,28.14,1,0,26.36,38.44,42.38,4.7,4.04,11,F
0,7,5,12,37.28,31.84,1,0,26.35,20.21,29.43,3.01,4.75,7.01,F
1,7,3,10,28.15,30.16,0,1,26.32,42.38,40.39,4.7,4.36,6.22,F
1,7,4,11,28.76,28.16,0,0,26.25,28.6,27.77,0.26,4.53,3.82,F
0,7,8,15,32.69,31.9,0,0,26.15,28.6,34.69,4.73,4.4,11.38,F
0,6,8,14,32.08,31.9,0,0,26.14,21.62,20.91,0.46,4.64,8.4,F
1,5,4,9,30.58,28.19,0,0,26.11,36.54,28.6,2.82,4.7,1.22,F
0,7,6,13,33.6,33.99,0,1,25.94,51.95,45.46,10,4.59,11.14,F
1,3,4,7,28.26,28.24,0,0,25.91,32.01,31.14,1.36,4.31,6.98,F
1,4,4,8,29.36,29.62,0,0,25.76,36.54,36.54,3.29,4.38,7.49,F
1,3,5,8,29.73,29.36,0,0,25.76,32.89,31.14,2.13,4.17,9.99,F
0,4,5,9,34.09,32.04,2,1,25.72,29.43,29.43,3.01,4.64,8.39,F
1,7,7,14,33.26,28.29,0,0,25.71,29.43,35.61,2.52,4.3,7.19,F
0,4,4,8,34.85,33.68,0,0,25.7,40.39,33.79,6.19,4.67,10.11,F
0,7,7,14,32.04,33.39,0,0,25.69,30.28,23.84,3.29,4.94,4.61,F
